index,female,born_germany,parent_nongermany,sportsclub_4_7,music_4_7,urban,anz_osiblings,yob_1998.0,yob_1999.0,yob_2000.0,yob_2001.0,yob_2002.0,yob_2003.0,abi_p,real_p,haupt_p,kindergarten_stats_unknown,parent_nongerman_unknown,education_unknown,anz_osiblings_unknown,ps,treat,sportsclub,sport_hrs,oweight,kommheard,kommgotten,kommused
78,0,1,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.39499311827909084,0.0,0.0,2.5,0.0,0.0,0.0,0.0
79,1,1,0.0,1.0,1.0,0.0,2.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.3659575179621383,1.0,1.0,8.0,0.0,1.0,1.0,1.0
80,1,1,1.0,1.0,0.0,1.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,1,0.9455,1.0,0.0,1.5,0.0,0.0,0.0,0.0
81,0,1,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1,0,1.0,0.0,0.0,0,0,0,0,0.30462103174603167,1.0,1.0,3.0,0.0,0.0,0.0,0.0
82,1,1,0.0,1.0,1.0,1.0,0.0,0,0,1,0,0,0,1.0,0.0,0.0,0,0,0,0,0.8326052119161552,1.0,1.0,2.0,0.0,1.0,1.0,0.0
83,1,1,1.0,1.0,0.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6888873577402989,1.0,0.0,2.0,0.0,0.0,0.0,0.0
84,0,1,0.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.20546786446536414,0.0,0.0,5.5,0.0,0.0,0.0,0.0
85,1,1,0.0,1.0,0.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6352442297741765,1.0,0.0,5.0,0.0,0.0,0.0,0.0
86,0,1,0.0,1.0,1.0,1.0,2.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.5588563251524655,0.0,1.0,12.0,0.0,0.0,0.0,0.0
87,1,1,0.0,0.0,1.0,1.0,4.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,0.0
88,1,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.2785038487222927,1.0,0.0,1.5,0.0,1.0,0.0,0.0
89,1,1,1.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.9677777777777777,1.0,1.0,5.0,0.0,1.0,0.0,0.0
90,0,1,1.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.8727792485292483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0,1,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.5049076479076477,0.0,1.0,1.5,0.0,0.0,0.0,0.0
92,0,1,0.0,0.0,1.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.5920485922761762,1.0,0.0,1.0,0.0,1.0,0.0,0.0
93,1,1,1.0,0.0,0.0,0.0,3.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,1,0,0.784952380952381,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0,1,0.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.20546786446536414,1.0,1.0,4.5,0.0,1.0,1.0,1.0
95,0,1,0.0,1.0,0.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6276633501422078,1.0,1.0,4.0,0.0,0.0,0.0,0.0
96,1,1,0.0,0.0,0.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.6744232437597543,1.0,0.0,2.0,0.0,1.0,1.0,1.0
