female,born_germany,parent_nongermany,sportsclub_4_7,music_4_7,urban,anz_osiblings,yob_1998.0,yob_1999.0,yob_2000.0,yob_2001.0,yob_2002.0,yob_2003.0,abi_p,real_p,haupt_p,kindergarten_stats_unknown,parent_nongerman_unknown,education_unknown,anz_osiblings_unknown,ps,treat,sportsclub,sport_hrs,oweight,kommheard,kommgotten,kommused
0,1,0.0,0.0,0.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,1,0,0.69840026,1.0,1.0,3.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.71304715,1.0,0.0,0.5,1.0,0.0,0.0,0.0
0,1,0.0,1.0,1.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.57945293,1.0,0.0,5.0,0.0,1.0,1.0,0.0
0,1,0.0,0.0,0.0,1.0,2.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.751807,1.0,0.0,10.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,0.7284701,1.0,0.0,2.0,1.0,0.0,0.0,0.0
0,1,0.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.7010142,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,1.0,0.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.5333848,1.0,0.0,1.0,0.0,1.0,1.0,0.0
0,1,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.37514052,1.0,1.0,7.0,0.0,1.0,0.0,0.0
0,0,1.0,1.0,0.0,0.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.60616815,1.0,0.0,8.0,0.0,0.0,0.0,0.0
0,1,0.0,1.0,0.0,1.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.5870992,1.0,1.0,13.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.6486037,1.0,1.0,5.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,1.0,0.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.62839806,1.0,0.0,2.0,0.0,0.0,0.0,0.0
0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.2722301,1.0,0.0,2.5,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.51621425,1.0,1.0,3.0,0.0,0.0,0.0,0.0
